slate,universe,signal,lookback,skip,weights,buffer,cadence,weighting,dir,id,pnl,total_return,cagr,sharpe,max_drawdown,turnover_pa,costs,round_trips,names_ever_held,accuracy,gain_to_loss,bench_ew_return,band_sigma,band_percentile,risk_adj_percentile,z_vs_frame_v0,stress_return,duplicate_of
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,1/1/0,False,monthly,reset,output/v1/no-dd_monthly_reset,WGT no-dd monthly/reset,36554903.78439515,3.6554903784395147,0.36045627707616434,1.5550944952704784,-0.2745298227857734,8.582246800719574,1109668.0228570974,204.0,,0.6078431372549019,1.643031855478573,,7470579.2460306175,,,-9.516651896576418,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,1/1/0,False,quarterly,drift,output/v1/no-dd_quarterly_drift,WGT no-dd quarterly/drift,32529453.284151703,3.25294532841517,0.3360542161652995,1.4144338890092465,-0.28765278758272717,4.050148425174676,522023.6334050598,114.0,,0.5964912280701754,1.8595937811571441,,8631304.873078115,,,-6.238691246260426,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,1/1/0,False,quarterly,reset,output/v1/no-dd_quarterly_reset,WGT no-dd quarterly/reset,29843156.892021626,2.9843156892021625,0.3187212015485721,1.3745549989301415,-0.2909127226779985,4.508992058045789,549987.2695613226,114.0,,0.6052631578947368,1.696693611554971,,8616185.287543843,,,-6.708733245635211,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,1/1/0,False,weekly,drift,output/v1/no-dd_weekly_drift,WGT no-dd weekly/drift,31533661.33997944,3.1533661339979444,0.3297339462804092,1.3926452525535153,-0.2963769730594874,17.08336407857422,2116545.4880069615,464.0,,0.5603448275862069,1.5379334077754219,,5075941.826760431,,,-10.507468776312791,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,1/1/0,False,weekly,reset,output/v1/no-dd_weekly_reset,WGT no-dd weekly/reset,29375316.35767033,2.937531635767033,0.31560752461651664,1.3663237357700293,-0.29846395373761025,19.845167752584082,2358063.277591207,464.0,,0.5732758620689655,1.3815622626909045,,5081177.876697245,,,-13.878442091439766,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,1/0/1,False,monthly,drift,output/v1/no-id_monthly_drift,WGT no-id monthly/drift,43640606.20096895,4.364060620096895,0.3995830238234397,1.6888938899767583,-0.30718421534250206,14.392761845402694,2133671.8607089785,379.0,,0.5356200527704486,1.726566065867415,,7474093.454994861,,,-6.856594469485238,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,1/0/1,False,monthly,reset,output/v1/no-id_monthly_reset,WGT no-id monthly/reset,43691041.92547419,4.369104192547419,0.3998462974520509,1.7072443301140798,-0.30321101001397455,14.989523301871,2207142.997252764,379.0,,0.5356200527704486,1.7162698742987084,,7470579.2460306175,,,-8.561419657406914,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,1/0/1,False,quarterly,drift,output/v1/no-id_quarterly_drift,WGT no-id quarterly/drift,45920315.445255525,4.592031544525552,0.41129021141191835,1.7768773036105552,-0.3184796467901746,5.750358694933763,952553.4250695617,156.0,,0.6538461538461539,1.2834761028679593,,8631304.873078115,,,-4.687261612153625,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,1/0/1,False,quarterly,reset,output/v1/no-id_quarterly_reset,WGT no-id quarterly/reset,48922361.251779154,4.892236125177916,0.42613798138117254,1.8507957266570236,-0.3177211528240734,6.054077774239532,1037634.2508014876,156.0,,0.6538461538461539,1.2875323589795338,,8616185.287543843,,,-4.4943885300753275,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,1/0/1,False,weekly,drift,output/v1/no-id_weekly_drift,WGT no-id weekly/drift,56188803.5585849,5.61888035585849,0.4597192738177387,1.9565636491323966,-0.3549850046709586,43.30775934166152,8316346.812110534,1127.0,,0.4906832298136646,1.5978365200704154,,5075941.826760431,,,-5.650214091354971,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,1/0/1,False,weekly,reset,output/v1/no-id_weekly_reset,WGT no-id weekly/reset,58449069.94908038,5.844906994908038,0.46956210416052047,2.028003749165855,-0.3484371147546066,45.34104442695944,8841751.718629286,1127.0,,0.4951197870452529,1.5728516880137764,,5081177.876697245,,,-8.156588950902213,,
V1,Nifty 100 + Midcap 100,residual momentum,252,21,1/1/1,False,quarterly,reset,output/v1/rm-solo,V1 rm-solo,43302964.60384331,4.330296460384331,0.39781542242968637,1.86390093926904,-0.3109101913040272,4.3971166030307955,730753.6317523957,111.0,,0.6396396396396397,1.6636930006372415,,8616185.287543843,,,-5.146579315254893,,
V1,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,2/1/1,False,quarterly,reset,output/v1/tilt,V1 tilt,29215951.235005386,2.9215951235005386,0.3145401249952391,1.344783096464533,-0.3414558321280079,5.2955492178763155,727422.6124334272,137.0,,0.6058394160583942,1.3436497993458583,,8616185.287543843,,,-6.781527137141116,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,2/1/1,False,monthly,drift,output/v1/tilt_monthly_drift,WGT tilt monthly/drift,34346798.575322405,3.434679857532241,0.34728993671945085,1.4540717930056628,-0.33835897137916815,9.870595019663515,1498143.297059442,275.0,,0.5163636363636364,1.7940424735220295,,7474093.454994861,,,-8.100064019552956,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,2/1/1,False,monthly,reset,output/v1/tilt_monthly_reset,WGT tilt monthly/reset,34822937.67023507,3.4822937670235063,0.3501726610241638,1.508759974323057,-0.346069966470662,10.987305839806579,1699461.4283290785,275.0,,0.5163636363636364,1.7247727712350542,,7470579.2460306175,,,-9.748490159329648,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,2/1/1,False,quarterly,drift,output/v1/tilt_quarterly_drift,WGT tilt quarterly/drift,26934821.901413567,2.693482190141357,0.2988677473168413,1.248228875687132,-0.33788847234520814,4.8919212583157,639838.1693643265,137.0,,0.6058394160583942,1.3535297754792333,,8631304.873078115,,,-6.886870341426944,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,2/1/1,False,quarterly,reset,output/v1/tilt_quarterly_reset,WGT tilt quarterly/reset,29215951.235005386,2.9215951235005386,0.3145401249952391,1.344783096464533,-0.3414558321280079,5.2955492178763155,727422.6124334272,137.0,,0.6058394160583942,1.3436497993458583,,8616185.287543843,,,-6.781527137141116,,output/v1/tilt
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,2/1/1,False,weekly,drift,output/v1/tilt_weekly_drift,WGT tilt weekly/drift,40484184.751177035,4.048418475117703,0.38269818297463876,1.6229081006713297,-0.3308372020758622,27.434136217295062,4331478.158136163,733.0,,0.46248294679399726,1.9220228459532294,,5075941.826760431,,,-8.744146083367351,,
WGT,Nifty 100 + Midcap 100,composite (mom + info-disc + drawdown),252,21,2/1/1,False,weekly,reset,output/v1/tilt_weekly_reset,WGT tilt weekly/reset,40449241.85433204,4.044924185433204,0.38250659045050384,1.6515118277354313,-0.32963610615066485,29.9901029074072,4775729.700370723,733.0,,0.46521145975443384,1.8591912892983558,,5081177.876697245,,,-11.699040825554592,,
